chr20 309914 309915 16 25
chr20 309927 309928 14 15
chr20 309965 309966 15 7
chr20 310040 310041 20 25
chr20 310051 310052 17 11
chr20 310083 310084 14 29
chr20 310092 310093 14 14
chr20 310099 310100 14 21
chr20 310104 310105 13 0
chr20 310119 310120 11 0
chr20 310215 310216 24 29
chr20 310300 310301 15 0
chr20 310308 310309 15 0
chr20 310393 310394 8 13
chr20 310402 310403 8 0
chr20 310405 310406 9 0
chr20 310423 310424 11 0
chr20 310437 310438 14 0
chr20 310456 310457 15 0
chr20 310460 310461 15 0
chr20 310463 310464 14 0
chr20 310491 310492 14 0
chr20 310506 310507 14 0
chr20 310510 310511 11 0
chr20 310519 310520 10 0
chr20 310550 310551 11 0
chr20 310566 310567 13 0
chr20 310576 310577 12 0
chr20 310588 310589 10 0
chr20 310627 310628 13 0
chr20 310648 310649 12 0
chr20 310670 310671 10 0
chr20 310675 310676 12 0
chr20 310696 310697 9 0
chr20 310714 310715 7 0
chr20 310843 310844 39 34
chr20 311024 311025 49 17
chr20 311174 311175 35 86
chr20 311181 311182 30 94
chr20 311236 311237 39 64
chr20 311315 311316 44 93
chr20 311377 311378 31 100
chr20 311407 311408 25 96
chr20 311409 311410 23 92
chr20 311415 311416 26 100
chr20 311432 311433 21 100
chr20 311449 311450 26 96
chr20 311543 311544 36 97
chr20 311599 311600 39 98
chr20 311683 311684 35 94
chr20 311696 311697 35 77
chr20 311751 311752 25 92
chr20 311763 311764 26 96
chr20 311793 311794 26 100
chr20 311833 311834 30 90
chr20 311912 311913 37 95
chr20 312135 312136 31 94
chr20 312146 312147 29 90
chr20 312186 312187 25 88
chr20 312192 312193 25 92
chr20 312245 312246 24 96
chr20 312280 312281 27 93
chr20 312300 312301 23 83
chr20 312335 312336 17 82
chr20 312465 312466 10 90
chr20 312495 312496 17 83
chr20 312572 312573 31 87
chr20 312773 312774 19 84
chr20 312825 312826 22 100
chr20 313067 313068 35 49
chr20 313327 313328 21 100
chr20 313418 313419 31 96
chr20 313517 313518 21 100
chr20 313562 313563 18 95
chr20 313601 313602 28 79
chr20 313648 313649 33 88
chr20 313844 313845 41 91
chr20 313869 313870 44 91
chr20 313924 313925 33 100
chr20 314347 314348 33 100
